epoch,train_rmse,val_rmse
1,2.356795734254772,0.857843122992832
2,0.9027537210139643,0.8568083182355709
3,0.8990423695201514,0.860830755207699
4,0.8988593017235256,0.8624476107746554
5,0.8986147390328608,0.8754296485002852
6,0.8960359518637531,0.8573629936894551
7,0.8969721367104619,0.8798462077165117
8,0.8959028675691896,0.877699777024565
9,0.8958075839884452,0.8690782125316309
10,0.896291545254791,0.8645168435361364
11,0.8952233024925658,0.8563396779708763
12,0.8950453477563401,0.8562534751959807
13,0.894678643054014,0.855600664470543
14,0.8946503169612956,0.8586852106320552
15,0.8939702593776137,0.8577180458264027
