epoch,train_rmse,val_rmse
1,1.2721278828925613,0.8584519679935579
2,0.9015168175344119,0.8821999045572517
3,0.8997107489012942,0.9174108235524995
4,0.9007893014279159,0.8554293694731825
5,0.9004782299978652,0.8760863162144925
6,0.8994030707418346,0.8550064174746878
7,0.9000858535547899,0.8546535376342609
8,0.8993613905293261,0.8745584468441397
9,0.8993503720409121,0.8550495063228469
10,0.8996347148396096,0.858403572699886
11,0.8980295682100888,0.8547250193121506
12,0.8997493945021261,0.8601071835726067
13,0.8965421489614843,0.8576789073513759
14,0.8986525738928766,0.8664116302738543
15,0.8977929311988205,0.857330415394692
16,0.897187742293353,0.8556942521194388
17,0.896526979284084,0.8667603441233727
18,0.8954535603708481,0.8561598146091385
19,0.8952972283238059,0.8594773766425942
20,0.8957924231484359,0.8535241983374252
21,0.8954978978901244,0.8671396996934921
22,0.8952274531956383,0.8837049217063481
23,0.8946338951103705,0.8552876616514846
24,0.8948488825140735,0.8609390281117089
25,0.8943769005009519,0.8684935622044041
26,0.8950628611789604,0.858397648140509
27,0.8930054173786091,0.8558948386961175
28,0.8937258668055289,0.8624517767335316
29,0.8935434100442827,0.8694908452430147
30,0.8939215641612466,0.854249961414872
