epoch,train_rmse,val_rmse
1,2.3673386054731,0.868798078166152
2,0.8964838559142987,0.8588705382192299
3,0.8946821880008989,0.8734460618295836
4,0.8935094796931895,0.8568601014091796
5,0.8933385154081316,0.8562146123915254
6,0.893029222172275,0.8592158068893346
7,0.8928902225237004,0.8572032838435603
8,0.8925407733718735,0.8560687455217517
9,0.892429544892858,0.8620351346095784
10,0.8928926015321564,0.8569427337054156
11,0.8926472731654024,0.858819604034821
12,0.8923957478280415,0.8990909719573765
13,0.8920541935101295,0.8561073377122109
14,0.8920299489143079,0.8650610316561489
15,0.8920924328273917,0.8602828763493012
